Account ID,SAUCE Amount,Airdrop Status,Airdrop TX ID
0.0.849326,92.64368567,SUCCESS, 0.0.4138717@1701635664.168797469
0.0.665092,6.986683983,SUCCESS, 0.0.4138717@1701635668.940161041
0.0.730273,94.1206779,SUCCESS, 0.0.4138717@1701635678.266391090
0.0.1315573,0.863954655,SUCCESS, 0.0.4138717@1701635679.516039632
0.0.853275,13865.56951,SUCCESS, 0.0.4138717@1701635684.132919356
0.0.1263649,3.705937857,SUCCESS, 0.0.4138717@1701635694.242142129
0.0.793945,0.005758257,SUCCESS, 0.0.4138717@1701635698.519835173
0.0.895105,4.669330422,SUCCESS, 0.0.4138717@1701635706.225864684
0.0.301056,1.44E-07,SUCCESS, 0.0.4138717@1701635713.911280795
0.0.512336,1.098444569,SUCCESS, 0.0.4138717@1701635720.746293036
0.0.1728068,76.69250539,SUCCESS, 0.0.4138717@1701635726.030253396
0.0.3240649,0.070938013,SUCCESS, 0.0.4138717@1701635729.174349188
0.0.1745927,0.000111241,SUCCESS, 0.0.4138717@1701635734.911254980
0.0.836544,0.053718093,SUCCESS, 0.0.4138717@1701635742.294951725
0.0.1033493,189.4337325,SUCCESS, 0.0.4138717@1701635743.362463794
0.0.725921,19.97936762,SUCCESS, 0.0.4138717@1701635751.312274861
0.0.835095,0.238397469,SUCCESS, 0.0.4138717@1701635756.561116967
0.0.882389,16606.3962,SUCCESS, 0.0.4138717@1701635764.999663117
0.0.3359892,3089.74011,SUCCESS, 0.0.4138717@1701635769.848307264
0.0.1427437,3.06E-07,SUCCESS, 0.0.4138717@1701635774.157563748
0.0.2947192,3.429198349,SUCCESS, 0.0.4138717@1701635785.225864412
0.0.1121753,10.37038539,SUCCESS, 0.0.4138717@1701635792.698459592
0.0.1300860,0.14965736,SUCCESS, 0.0.4138717@1701635796.837573590
