Account ID,Token ID,Airdrop Amount,Airdrop Status,Pools,Airdrop TX ID
0.0.4322011,0.0.731861,41.88760662,SUCCESS,0.0.3964790&0.0.3961531,0.0.4138717@1721149870.368429934
0.0.835929,0.0.731861,0.000552822,SUCCESS,0.0.3964790&0.0.3961531&0.0.3951117&0.0.3964855&0.0.3964825&0.0.3964860,0.0.4138717@1721149868.467651184
0.0.4358343,0.0.731861,0.018879437,SUCCESS,0.0.3964790,0.0.4138717@1721149870.074694800
0.0.813427,0.0.731861,1.52462E-05,SUCCESS,0.0.3964790&0.0.3951117,0.0.4138717@1721149872.495941111
0.0.1769460,0.0.731861,0.001383295,SUCCESS,0.0.3964790,0.0.4138717@1721149871.808324617
0.0.1512938,0.0.731861,0.111487844,SUCCESS,0.0.3964790&0.0.3951117,0.0.4138717@1721149870.910732029
0.0.4759327,0.0.731861,0.000763783,SUCCESS,0.0.3964790,0.0.4138717@1721149870.088592548
0.0.3854083,0.0.731861,0.021699899,SUCCESS,0.0.3964790,0.0.4138717@1721149875.094707026
0.0.1524656,0.0.731861,0.004406578,SUCCESS,0.0.3964790,0.0.4138717@1721149875.461930727
0.0.4614479,0.0.731861,29.6428006,SUCCESS,0.0.3964790,0.0.4138717@1721149872.163152907
0.0.4914246,0.0.731861,0.972733738,SUCCESS,0.0.3964790&0.0.3951117&0.0.3964827&0.0.3964855,0.0.4138717@1721149872.603671754
0.0.708744,0.0.731861,0.004806216,SUCCESS,0.0.3964790,0.0.4138717@1721149875.092574628
0.0.4908409,0.0.731861,5.04068E-06,SUCCESS,0.0.3964790,0.0.4138717@1721149876.784052081
0.0.4383878,0.0.731861,0.007346782,SUCCESS,0.0.3964790&0.0.3951117,0.0.4138717@1721149876.895541397
0.0.4737222,0.0.731861,0.194027294,SUCCESS,0.0.3964790&0.0.3964827,0.0.4138717@1721149878.558619541
0.0.4848642,0.0.731861,0.035577899,SUCCESS,0.0.3964790,0.0.4138717@1721149879.998379012
0.0.1093612,0.0.731861,0.000267587,SUCCESS,0.0.3964790&0.0.3964804,0.0.4138717@1721149878.314349526
0.0.4763807,0.0.731861,0.010346538,SUCCESS,0.0.3964790,0.0.4138717@1721149880.985331870
0.0.1137113,0.0.731861,0.041012573,SUCCESS,0.0.3964790,0.0.4138717@1721149878.073812958
