account,token address,amount,state,pool address,tx id
0.0.4819535,0.0.731861,9.87028E-05,SUCCESS,0.0.3964790,0.0.4138717@1722282522.060475458
0.0.732798,0.0.731861,1.351117251,SUCCESS,0.0.3964790&0.0.3964804,0.0.4138717@1722282523.880298854
0.0.4360457,0.0.731861,0.004237363,SUCCESS,0.0.3964790,0.0.4138717@1722282522.309689816
0.0.4325755,0.0.731861,0.069593592,SUCCESS,0.0.3964790&0.0.3961531&0.0.3951117&0.0.3964855,0.0.4138717@1722282526.181815929
0.0.1391028,0.0.731861,8.963672619,SUCCESS,0.0.3964790&0.0.3964837,0.0.4138717@1722282525.157891731
0.0.3304469,0.0.731861,1.785304797,SUCCESS,0.0.3964790&0.0.3964827&0.0.3964855,0.0.4138717@1722282525.986041770
0.0.5374006,0.0.731861,0.000263471,SUCCESS,0.0.3964790,0.0.4138717@1722282529.189479476
0.0.858310,0.0.731861,0.001279648,SUCCESS,0.0.3964790,0.0.4138717@1722282526.494353908
0.0.4540904,0.0.731861,16.56622992,SUCCESS,0.0.3964790&0.0.3964855&0.0.3964804,0.0.4138717@1722282525.311321203
0.0.5084293,0.0.731861,0.043550311,SUCCESS,0.0.3964790&0.0.3951117&0.0.3964855,0.0.4138717@1722282529.492239531
0.0.2023508,0.0.731861,0.112377538,SUCCESS,0.0.3964790&0.0.3964827,0.0.4138717@1722282526.159072958
0.0.1459068,0.0.731861,25.75995835,SUCCESS,0.0.3964790&0.0.3964827,0.0.4138717@1722282530.550244338
0.0.4319631,0.0.731861,0.002167023,SUCCESS,0.0.3964790&0.0.3964804,0.0.4138717@1722282529.498320051
0.0.2960424,0.0.731861,1.020315355,SUCCESS,0.0.3964790&0.0.3961531,0.0.4138717@1722282527.379570392
0.0.4202231,0.0.731861,16.04839657,SUCCESS,0.0.3964790&0.0.3964860,0.0.4138717@1722282531.871708860
0.0.1893652,0.0.731861,0.000404285,SUCCESS,0.0.3964790,0.0.4138717@1722282529.446699788
0.0.6132505,0.0.731861,113.6139457,SUCCESS,0.0.3964790&0.0.3951117&0.0.3964827,0.0.4138717@1722282536.201543950
0.0.4348319,0.0.731861,0.01258619,SUCCESS,0.0.3964790,0.0.4138717@1722282534.796432395
0.0.1458777,0.0.731861,0.02947183,SUCCESS,0.0.3964790,0.0.4138717@1722282535.790333066
0.0.3938365,0.0.731861,3.06856416,SUCCESS,0.0.3964790&0.0.3964837,0.0.4138717@1722282533.629765193
0.0.1929940,0.0.731861,18.76827159,SUCCESS,0.0.3964790&0.0.3961531&0.0.3964804,0.0.4138717@1722282535.821303383
0.0.6124308,0.0.731861,0.006760176,SUCCESS,0.0.3964790,0.0.4138717@1722282535.542447102
0.0.2174952,0.0.731861,53.6432975,SUCCESS,0.0.3964790&0.0.3951117&0.0.3964834&0.0.3964804,0.0.4138717@1722282533.543741300
0.0.5618018,0.0.731861,0.255301792,SUCCESS,0.0.3964790&0.0.3961531,0.0.4138717@1722282534.153314074
0.0.2141800,0.0.731861,7.42E-07,SUCCESS,0.0.3964790&0.0.3964855,0.0.4138717@1722282539.379629221
0.0.663264,0.0.731861,0.019807124,SUCCESS,0.0.3964790&0.0.3961531,0.0.4138717@1722282537.874696735
0.0.4324463,0.0.731861,0.004778269,SUCCESS,0.0.3964790&0.0.3951117,0.0.4138717@1722282539.152812747
0.0.4713784,0.0.731861,3.107322455,SUCCESS,0.0.3964790&0.0.3964827,0.0.4138717@1722282540.439923116
0.0.4203261,0.0.731861,0.013967312,SUCCESS,0.0.3964790&0.0.3951117,0.0.4138717@1722282537.403100033
0.0.4759022,0.0.731861,5.51E-11,SUCCESS,0.0.3964790,0.0.4138717@1722282538.966870150
0.0.5724627,0.0.731861,1.88487589,SUCCESS,0.0.3964790&0.0.3964804,0.0.4138717@1722282542.578707618
0.0.4384266,0.0.731861,4.54E-10,SUCCESS,0.0.3964790,0.0.4138717@1722282542.086332650
0.0.4325800,0.0.731861,5.070728249,SUCCESS,0.0.3964790&0.0.3951117&0.0.3964804,0.0.4138717@1722282540.748692083
0.0.4205079,0.0.731861,1.30E-09,SUCCESS,0.0.3964790,0.0.4138717@1722282539.155595336
0.0.4582675,0.0.731861,1.921475537,SUCCESS,0.0.3964790&0.0.3951117&0.0.3964827,0.0.4138717@1722282539.343228445
0.0.4337852,0.0.731861,3.63E-09,SUCCESS,0.0.3964790,0.0.4138717@1722282539.696074273
0.0.4331750,0.0.731861,0.81208209,SUCCESS,0.0.3964790&0.0.3951117,0.0.4138717@1722282542.990498787
0.0.5779439,0.0.731861,0.093816056,SUCCESS,0.0.3964790&0.0.3951117,0.0.4138717@1722282545.118122658
0.0.6043615,0.0.731861,3.994610123,SUCCESS,0.0.3964790&0.0.3951117&0.0.3964827&0.0.3964855&0.0.3964804,0.0.4138717@1722282542.447260021
0.0.4326204,0.0.731861,115.6949625,SUCCESS,0.0.3964790&0.0.3951117&0.0.3964827,0.0.4138717@1722282543.913389743
0.0.4207604,0.0.731861,101.0947732,SUCCESS,0.0.3964790&0.0.3964827,0.0.4138717@1722282542.761557839
0.0.5825867,0.0.731861,1.40E-07,SUCCESS,0.0.3964790,0.0.4138717@1722282544.129542964
0.0.4308701,0.0.731861,396.6450707,SUCCESS,0.0.3964790&0.0.3961531&0.0.3951117,0.0.4138717@1722282544.574026310
